核准編號,團體名稱,電話,行政區,臺北市核准地點,備註,經度,緯度
30,台北市自閉症家長協會,(02)25953937,大安區,泰順街57巷口斜對面圍牆旁,,121.53138,25.02246
31,台北市自閉症家長協會,(02)25953937,大安區,泰順街與溫州街12巷口,,121.53155,25.02577
32,台北市自閉症家長協會,(02)25953937,大安區,瑞安街208巷70弄口,,121.54052,25.03031
33,台北市自閉症家長協會,(02)25953937,文山區,景後街149巷與景興路交叉口,,121.54272,24.99004
34,台北市自閉症家長協會,(02)25953937,文山區,景文街41號對面,,121.54129,24.99223
41,臺北市視障樂活福利促進會,(02)25993105,士林區,中山北路7段181巷22弄2號正對面,,121.53087,25.125404
42,臺北市視障樂活福利促進會,(02)25993105,士林區,中山北路7段227巷8號斜對面,,121.532614,25.127645
43,臺北市視障樂活福利促進會,(02)25993105,士林區,忠義街71巷口電信箱旁,,121.531518,25.105879
44,臺北市視障樂活福利促進會,(02)25993105,士林區,中山北路6段277巷18弄2號右邊電桿旁,,121.524296,25.109886
45,臺北市視障樂活福利促進會,(02)25993105,大安區,通化街178號電箱旁,,121.553362,25.027363
46,臺北市視障樂活福利促進會,(02)25993105,大安區,辛亥路3段157巷14號對面大樹旁,,121.549439,25.01761
47,臺北市視障樂活福利促進會,(02)25993105,大安區,信義路3段166巷3號對面變電箱旁,,121.541939,25.032775
48,臺北市視障樂活福利促進會,(02)25993105,大安區,建國南路2段25巷口,,121.538118,25.032465
49,臺北市視障樂活福利促進會,(02)25993105,大安區,復興南路2段78巷42弄5號對面電箱旁,,121.541829,25.030624
50,臺北市視障樂活福利促進會,(02)25993105,大安區,瑞安街100號斜對面,,121.543,25.029853
51,臺北市視障樂活福利促進會,(02)25993105,大安區,瑞安街208巷3號前,,121.540538,25.028344
52,臺北市視障樂活福利促進會,(02)25993105,中山區,大直街21巷9號旁,,121.547011,25.08174
53,臺北市視障樂活福利促進會,(02)25993105,中山區,大直街84巷口,,121.547572,25.085031
54,臺北市視障樂活福利促進會,(02)25993105,中山區,北安路805巷2號前,,121.554205,25.085446
55,臺北市視障樂活福利促進會,(02)25993105,內湖區,康寧路3段189巷163弄19號對面公園欄竿旁,,121.611632,25.075535
56,臺北市視障樂活福利促進會,(02)25993105,內湖區,內湖路2段179巷3弄旁公園電箱旁,,121.587504,25.081647
57,臺北市視障樂活福利促進會,(02)25993105,信義區,吳興街156巷22弄25號左邊公園變電箱旁人行道,,121.559863,25.028709
58,臺北市視障樂活福利促進會,(02)25993105,信義區,吳興街156巷2弄12號對面人行道,,121.561221,25.029252
59,臺北市視障樂活福利促進會,(02)25993105,南港區,力行橋頭南側空地對面(研究院路1段101巷8號對面),,121.616794,25.051672
60,臺北市視障樂活福利促進會,(02)25993105,文山區,保儀路109巷跟木新路2段218巷靠近學校圍牆的交叉路口,,121.569045,24.984719
61,臺北市視障樂活福利促進會,(02)25993105,文山區,景華街104巷6號右邊變電箱旁,,121.546287,24.994741
62,臺北市視障樂活福利促進會,(02)25993105,文山區,景華街82巷11號對面變電箱旁,,121.54532,24.994219
63,臺北市視障樂活福利促進會,(02)25993105,文山區,景興路153巷12-3號旁,,121.545217,24.993551
64,臺北市視障樂活福利促進會,(02)25993105,文山區,育英街31巷36弄21號左邊公佈欄旁,,121.537069,24.989985
65,臺北市視障樂活福利促進會,(02)25993105,文山區,萬慶街13巷29號對面公布欄旁,,121.53957,24.99149
66,臺北市視障樂活福利促進會,(02)25993105,文山區,景中街27號旁,,121.543743,24.994472
67,臺北市視障樂活福利促進會,(02)25993105,文山區,景美街5巷23號斜對面,,121.54239,24.992941
68,臺北市視障樂活福利促進會,(02)25993105,文山區,汀州路4段105巷16弄3號對面,,121.537327,25.006209
69,臺北市視障樂活福利促進會,(02)25993105,文山區,羅斯福路5段與公館街口電桿旁,,121.538569,25.004896
70,臺北市視障樂活福利促進會,(02)25993105,文山區,景明街11巷6弄14號對面公園旁,,121.541523,25.000845
71,臺北市視障樂活福利促進會,(02)25993105,文山區,羅斯福路6段39巷1號右邊電桿旁,,121.540688,24.998907
72,臺北市視障樂活福利促進會,(02)25993105,文山區,萬盛街62號對面,,121.540157,25.006644
73,臺北市視障樂活福利促進會,(02)25993105,文山區,興隆路1段70巷9弄口電桿旁,,121.540631,25.002731
74,臺北市視障樂活福利促進會,(02)25993105,文山區,秀明路2段112巷15號對面,,121.575626,24.990136
75,臺北市視障樂活福利促進會,(02)25993105,文山區,木新路2段255號(7-11木新門市)前面,,121.566572,24.98317
76,臺北市視障樂活福利促進會,(02)25993105,文山區,仙岩路45-1號旁邊,,121.548772,24.99954
77,臺北市視障樂活福利促進會,(02)25993105,文山區,興隆路1段137巷口燈桿旁,,121.542221,25.002105
78,臺北市視障樂活福利促進會,(02)25993105,文山區,興隆路1段251巷3弄13號對面,,121.544723,25.000308
79,臺北市視障樂活福利促進會,(02)25993105,文山區,興順街78號對面右邊電信箱旁,,121.54495,25.001246
80,臺北市視障樂活福利促進會,(02)25993105,文山區,萬美街1段23號對面公園空地,,121.56925,25.002426
81,社團法人台北生命勵樂活輔健會,(02)27299347,中正區,杭州南路1段75號前公車站,,121.5635681,25.03751556
82,社團法人台北生命勵樂活輔健會,(02)27299347,中正區,濟南路2段8巷口,,121.525632,25.039852
83,社團法人台北生命勵樂活輔健會,(02)27299347,文山區,木新路2段79巷12弄26號斜對面公園,,121.526961,25.041287
84,社團法人台北生命勵樂活輔健會,(02)27299347,松山區,吉祥路55號對面,,121.570512,24.983669
85,社團法人台北生命勵樂活輔健會,(02)27299347,大安區,建國南路1段291巷30號旁,,121.5626239,25.05047268
87,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,忠誠路2段41巷14號斜對面,,121.535389,25.013557
88,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,中正路655巷口電信箱旁,,121.5310855,25.10998246
89,社團法人台北生命勵樂活輔健會,(02)27299347,內湖區,康寧路1段26巷口,,121.5077993,25.08620557
90,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,重慶北路4段49巷31弄底(福順公園旁),,121.591201,25.080672
91,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,永吉路180巷67弄5號旁(超商前)人行道,,121.512738,25.080526
92,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,承德路4段6巷2號,,121.5719242,25.04374483
93,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,吳興街600巷80號對面公園,,121.52122,25.7921
94,社團法人台北生命勵樂活輔健會,(02)27299347,中正區,金山南路1段47號旁電箱前,,121.5708287,25.01891612
95,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,吳興街600巷25弄口,,121.5289498,25.03943928
96,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,吳興街365巷口,,121.569556,25.021154
97,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,吳興街487巷(22路公車總站)人行道,,121.5673125,25.02594485
98,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,信義路5段150巷401弄36號前,,121.5694132,25.02374991
99,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,莊敬路197巷口公園人行道,,121.5702662,25.02466712
100,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,忠孝東路4段553巷52弄口對面人行道,,121.5618508,25.03095881
101,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,忠孝東路4段559巷14號對面,,121.562745,25.042858
102,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,忠孝東路5段524巷1弄30號對角人行道,,121.5637656,25.04230739
103,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,信安街13號對面,,121.5806607,25.04183349
104,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,嘉興街175巷口,,121.5593007,25.03724161
105,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,福德街268巷7弄口電線桿旁,,121.5567108,25.02798217
106,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,福德街189號前公園人行道,,121.5848471,25.03972818
107,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,松信路60號旁與松隆路口人行道,,121.5841459,25.03832201
108,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,祥雲街與景雲街口,,121.5719791,25.04662388
109,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,松仁路281巷88號對面,,121.573586,25.019473
110,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,華齡街166號對面公園內,,121.5699829,25.02387423
111,社團法人台北生命勵樂活輔健會,(02)27299347,松山區,市民大道5段與八德路4段204巷口,,121.51958,25.086752
112,社團法人台北生命勵樂活輔健會,(02)27299347,松山區,八德路4段72巷口,,121.5641176,25.04861428
113,社團法人台北生命勵樂活輔健會,(02)27299347,松山區,光復北路26巷3號對面,,121.560202,25.04743
114,社團法人台北生命勵樂活輔健會,(02)27299347,中正區,金山南路與泰安街3巷口,,121.557355,25.04935734
115,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,士商路15號對面,,121.5280919,25.04026937
116,社團法人台北生命勵樂活輔健會,(02)27299347,士林區,士商路151號對面,,121.520588,25.09022
117,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,忠孝東路5段492巷斜對面松光綠地,,121.517225,25.094101
118,社團法人台北生命勵樂活輔健會,(02)27299347,信義區,松山路465巷33號邊,,121.57837,25.03973
119,社團法人台北生命勵樂活輔健會,(02)27299347,大安區,敦化南路2段63巷21弄24號斜對面,,121.579848,25.040378
120,社團法人台北生命勵樂活輔健會,(02)27299347,大安區,安和路2段44巷9號斜對面,,121.550157,25.031716
121,台北市康復之友協會,(02)27652810,士林區,士東路120巷20弄15號斜對面,,121.5518,25.031353
122,台北市康復之友協會,(02)27652810,士林區,忠誠路1段40號,,121.5265405,25.10475042
123,台北市康復之友協會,(02)27652810,士林區,葫東街26號旁,,121.5110272,25.08364317
124,台北市康復之友協會,(02)27652810,士林區,重慶北路4段49巷18-1號旁,,121.5122505,25.08114099
125,台北市康復之友協會,(02)27652810,南港區,玉成街190巷口的玉成公園,,121.5850052,25.04370882
126,台北市康復之友協會,(02)27652810,南港區,忠孝東路6段250巷16號對面的聯成公園旁,,121.5884213,25.04838253
127,台北市康復之友協會,(02)27652810,南港區,福德街309巷口(251巷7弄40號對面),,121.5880759,25.03833786
128,台北市康復之友協會,(02)27652810,南港區,成福路178巷口的玉成公園,,121.5874002,25.04189586
129,台北市康復之友協會,(02)27652810,南港區,東新街77巷4弄2號對面人行道,,121.5883151,25.04730885
130,台北市康復之友協會,(02)27652810,中正區,羅斯福路3段84巷口,,121.5264371,25.02193767
131,台北市康復之友協會,(02)27652810,中正區,中華路2段與南海路口,,121.5074181,25.02702997
132,台北市康復之友協會,(02)27652810,中正區,重慶南路2段43號天橋樓梯下方,,121.5149578,25.03187591
133,台北市康復之友協會,(02)27652810,中正區,寧波西街181巷與紹安街口的永昌公園,,121.5095034,25.02627049
134,台北市康復之友協會,(02)27652810,中正區,新生南路1段146巷口的連雲公園,,121.5315258,25.03505251
135,台北市康復之友協會,(02)27652810,中正區,臨沂街75巷8號對面的信愛公園,,121.5288158,25.03486956
136,台北市康復之友協會,(02)27652810,萬華區,大理街156巷口,,121.4950186,25.03403174
137,台北市康復之友協會,(02)27652810,萬華區,艋舺大道西園路2段140巷口,,121.4947987,25.03154358
138,台北市康復之友協會,(02)27652810,萬華區,西園路2段320巷55弄與寶興街口,,121.4917957,25.02848881
139,台北市康復之友協會,(02)27652810,松山區,撫遠街400巷96號對面,,121.5654395,25.06609547
140,台北市康復之友協會,(02)27652810,萬華區,和平西路3段309巷9號對面,,121.4933535,25.03601065
142,台北市康復之友協會,(02)27652810,大同區,涼州街與延平北路2段路口(平樂天橋下),,121.5113996,25.06104461
143,台北市康復之友協會,(02)27652810,大同區,承德路2段109巷36號旁,,121.519373,25.05667935
144,台北市康復之友協會,(02)27652810,大同區,赤峰街與南京西路口,,121.5190279,25.05310196
145,台北市康復之友協會,(02)27652810,信義區,林口街210號對面春光公園人行道,,121.5808427,25.04150928
146,台北市康復之友協會,(02)27652810,松山區,寶清街77號對面寶清公園旁的人行道,,121.5681948,25.0523086
148,台北市康復之友協會,(02)27652810,松山區,撫遠街380巷16號對面公佈欄旁,,121.5647029,25.06437078
149,台北市康復之友協會,(02)27652810,松山區,撫遠街389巷27號對面的撫遠公園,,121.5668943,25.06508967
150,台北市康復之友協會,(02)27652810,松山區,八德路4段389巷口,,121.5686541,25.04938903
151,台北市康復之友協會,(02)27652810,大安區,敦化南路2段63巷33號變電箱旁,,121.5507023,25.0309315
152,台北市康復之友協會,(02)27652810,大安區,和平東路3段1巷25號對面的群賢公園,,121.5470118,25.02587673
153,台北市康復之友協會,(02)27652810,大安區,復興南路2段151巷30弄口,,121.5452872,25.02820492
154,台北市康復之友協會,(02)27652810,內湖區,成功路4段61巷9弄口,,121.5922532,25.08114854
155,台北市康復之友協會,(02)27652810,內湖區,文德路66巷36弄1號旁,,121.5821391,25.07615058
156,台北市康復之友協會,(02)27652810,文山區,木柵路4段6號對面變電箱旁,,121.5720315,24.99552551
157,台北市康復之友協會,(02)27652810,文山區,木柵路1段89巷底試院公園旁,,121.5471139,24.98803888
158,台北市康復之友協會,(02)27652810,文山區,景福街251巷2號對面,,121.539701,24.99385371
159,台北市康復之友協會,(02)27652810,文山區,興隆路2段203巷14號對面,,121.5487312,25.00184994
160,台北市康復之友協會,(02)27652810,文山區,仙岩路22巷2號對面,,121.5487716,24.99888371
161,台北市盲人福利協進會,(02)25585000,士林區,士東路47號旁(忠義幼稚園),,121.52772,25.11201
162,台北市盲人福利協進會,(02)25585000,萬華區,西園路2段320巷36弄14-1號前,,121.49113,25.02711
163,台北市盲人福利協進會,(02)25585000,大安區,和平東路3段與嘉興街口,,121.55392,25.022298
164,台北市盲人福利協進會,(02)25585000,松山區,八德路2段346巷5弄25號正面對公園花圃內,,121.545561,25.04704
165,台北市盲人福利協進會,(02)25585000,中正區,博愛路216號旁(廣州街2號街前),,121.51051,25.03448
166,台北市盲人福利協進會,(02)25585000,內湖區,內湖路1段629巷40弄2號對面,,121.575002,25.081707
167,台北市盲人福利協進會,(02)25585000,內湖區,港華街31號對面,,121.576417,25.082594
168,台北市盲人福利協進會,(02)25585000,內湖區,內湖路2段81號對面空地,,121.5826942,25.0799504
169,台北市盲人福利協進會,(02)25585000,內湖區,內湖路1段47巷口臨文湖街11巷,,121.559395,25.085915
170,台北市盲人福利協進會,(02)25585000,內湖區,文湖街21巷口停車場對面,,121.560625,25.086416
171,台北市盲人福利協進會,(02)25585000,內湖區,文德路210巷30弄1號附近,,121.583747,25.077169
172,台北市盲人福利協進會,(02)25585000,文山區,汀州路4段146號對面公園邊,,121.535846,25.004913
173,台北市盲人福利協進會,(02)25585000,萬華區,環河南路2段250巷25弄22號旁,,121.48985,25.03368
174,台北市盲人福利協進會,(02)25585000,文山區,羅斯福路5段218巷口內電線桿後,,121.536754,25.002135
175,台北市盲人福利協進會,(02)25585000,文山區,羅斯福路5段176巷40號,,121.5366105,25.0043167
176,台北市盲人福利協進會,(02)25585000,松山區,民生東路5段27巷6號對面,,121.556685,25.059536
177,台北市盲人福利協進會,(02)25585000,松山區,光復北路165巷口(公園側),,121.557129,25.057292
178,台北市盲人福利協進會,(02)25585000,信義區,莊敬路423巷底空地人行道,,121.567065,25.028619
179,台北市盲人福利協進會,(02)25585000,南港區,三重路32巷口,,121.614029,25.056162
180,台北市盲人福利協進會,(02)25585000,南港區,昆陽街140巷42弄18號對面,,121.592922,25.048998
181,台北市盲人福利協進會,(02)25585000,南港區,東新街108巷10號對面,,121.587902,25.045818
182,台北市盲人福利協進會,(02)25585000,萬華區,青年路152巷57號旁,,121.501005,25.019831
183,台北市盲人福利協進會,(02)25585000,萬華區,環河南路2段100巷柳鄉公園,,121.495297,25.037298
184,台北市盲人福利協進會,(02)25585000,萬華區,民和街18號對面,,121.49983,25.0262
185,台北市盲人福利協進會,(02)25585000,萬華區,青年路68巷口,,121.50263,25.02354
186,台北市盲人福利協進會,(02)25585000,大安區,臥龍街131巷13弄1號,,121.55157,25.01944
187,台北市盲人福利協進會,(02)25585000,大安區,仁愛路3段123巷9弄口公告欄旁,,121.542032,25.039118
188,台北市盲人福利協進會,(02)25585000,士林區,中正路213巷口（鄰近永和豆漿店）側邊牆面,,121.5265204,25.09536454
189,台北市盲人福利協進會,(02)25585000,大安區,忠孝東路3段248巷13弄頭,,121.541553,25.040664
190,台北市盲人福利協進會,(02)25585000,萬華區,環河南路2段250巷15號邊,,121.490971,25.033575
191,台北市盲人福利協進會,(02)25585000,萬華區,環河南路2段278號對面,,121.491467,25.032318
192,台北市盲人福利協進會,(02)25585000,文山區,木新路2段161巷12弄10號對面電桿旁,,121.56874,24.98318
193,台北市盲人福利協進會,(02)25585000,萬華區,萬大路322巷55弄1號對面,,121.51879,25.06942
195,台北市盲人福利協進會,(02)25585000,大同區,承德路3段191巷口,,121.51937,25.30744
196,台北市盲人福利協進會,(02)25585000,大同區,承德路3段292號旁邊,,121.5194166,25.07406158
197,台北市盲人福利協進會,(02)25585000,士林區,中正路235巷57號對面,,121.5264341,25.09392918
198,台北市盲人福利協進會,(02)25585000,士林區,中山北路5段505巷口,,121.5276477,25.09356275
199,台北市盲人福利協進會,(02)25585000,大同區,重慶北路3段243巷8號,,121.5143952,25.07121489
200,台北市盲人福利協進會,(02)25585000,大同區,承德路3段301巷對面,,121.520501,25.075824
201,台北市視障生活品質福利促進會,(02)25587370,文山區,忠順街1段41巷口,,24.9843621,121.5586287
202,台北市視障生活品質福利促進會,(02)25587370,南港區,成福路83號對面,,25.04356978,121.5869312
203,台北市視障生活品質福利促進會,(02)25587370,士林區,前港街38號對面公園內,,25.08524287,121.5212914
204,台北市視障生活品質福利促進會,(02)25587370,文山區,指南路3段53號對面電箱旁,,24.98368575,121.5797024
205,台北市視障生活品質福利促進會,(02)25587370,文山區,木柵路3段郵局對面48巷郵局對面,,24.98831213,121.5653523
206,台北市視障生活品質福利促進會,(02)25587370,北投區,知行路210巷40號對面大樹旁,,25.11956939,121.4684582
207,台北市視障生活品質福利促進會,(02)25587370,士林區,社子街尾與延平北路6段口,,25.08927233,121.5048443
208,台北市視障生活品質福利促進會,(02)25587370,士林區,迪化街2段348號旁,,25.07264312,121.5126231
209,台北市視障生活品質福利促進會,(02)25587370,士林區,前港街88號對面公園旁,,25.08541104,121.5194408
210,台北市視障生活品質福利促進會,(02)25587370,士林區,德行東路74巷口電信箱旁,,25.10716998,121.5273669
211,台北市視障生活品質福利促進會,(02)25587370,大同區,民族西路277號對面,,25.06953411,121.510606
212,台北市視障生活品質福利促進會,(02)25587370,大同區,南京西路18巷6弄口,,25.10925894,121.5325753
213,台北市視障生活品質福利促進會,(02)25587370,士林區,葫蘆街110號對面電箱旁,,25.08262533,121.5078626
214,台北市視障生活品質福利促進會,(02)25587370,士林區,葫蘆街140對面電杆旁,,25.08385573,121.5084715
215,台北市視障生活品質福利促進會,(02)25587370,大同區,延平北路3段61-5號旁(7-11),,25.08762124,121.506937
216,台北市視障生活品質福利促進會,(02)25587370,南港區,研究院路2段78號業面公車站牌旁,,25.04549181,121.6153948
217,台北市視障生活品質福利促進會,(02)25587370,士林區,社子街124號對面,,25.08805386,121.505337
218,台北市視障生活品質福利促進會,(02)25587370,大同區,南京西路64巷14-4號,,25.09181415,121.5050491
219,台北市視障生活品質福利促進會,(02)25587370,士林區,雨聲街65巷口對面活動中心前,,25.10348671,121.5286509
220,台北市視障生活品質福利促進會,(02)25587370,內湖區,民權東路6段163巷電信箱旁,,25.06858837,121.5958013
221,台北市視障生活品質福利促進會,(02)25587370,士林區,磺溪街94巷右邊電線桿旁,,25.1088053,121.5234364
222,台北市視障生活品質福利促進會,(02)25587370,大同區,延平北路3段40號(萊爾富)旁,,25.06462621,121.5109727
223,台北市視障生活品質福利促進會,(02)25587370,大同區,伊寧街39號對面電箱旁,,25.06462221,121.5121578
224,台北市視障生活品質福利促進會,(02)25587370,大同區,南京西路167巷24號旁,,25.05597142,121.5125069
225,台北市視障生活品質福利促進會,(02)25587370,大同區,承街路1段41巷口,,25.05128836,121.5172826
226,台北市視障生活品質福利促進會,(02)25587370,大同區,南京西路344巷8-9號旁,,25.05322413,121.5121442
227,台北市視障生活品質福利促進會,(02)25587370,中正區,同安街18號對面,,25.02523056,121.522386
228,台北市視障生活品質福利促進會,(02)25587370,大安區,師大路71號前,,25.0237102,121.528592
229,台北市視障生活品質福利促進會,(02)25587370,大安區,泰順街40巷8號斜對面反光鏡右方,,25.02415593,121.5310718
230,台北市視障生活品質福利促進會,(02)25587370,士林區,福華街164巷16號旁,,25.10434366,121.5226085
231,台北市視障生活品質福利促進會,(02)25587370,士林區,福國路15巷口,,25.10191679,121.5247546
232,台北市視障生活品質福利促進會,(02)25587370,士林區,福國路56巷12-2號旁,,25.10311651,121.5234349
233,台北市視障生活品質福利促進會,(02)25587370,中山區,長春路71巷口右側,,25.05504304,121.526685
234,台北市視障生活品質福利促進會,(02)25587370,中山區,中山北路2段65巷13號旁,,25.05722593,121.5240284
235,台北市視障生活品質福利促進會,(02)25587370,中山區,新生北路2段68巷口,,25.05663667,121.5264063
236,台北市心理復健家屬聯合協會,(02)23660399,中山區,松江路170巷9號與長春路137巷12號對面公園（電氣設備旁）,,121.531932,25.056062
237,台北市心理復健家屬聯合協會,(02)23660399,中山區,吉林路22巷23號轉角處,,121.528852,25.051038
238,台北市心理復健家屬聯合協會,(02)23660399,松山區,民生東路5段163之1號銀行前方(行道樹旁),,121.563139,25.059374
239,台北市心理復健家屬聯合協會,(02)23660399,中山區,松江路38巷(長安東路2段36巷15號右側巷口),,121.531432,25.047575
240,台北市心理復健家屬聯合協會,(02)23660399,中山區,吉林路與松江路90號交叉口人行道(靠近行道樹旁),,121.530182,25.050491
241,台北市心理復健家屬聯合協會,(02)23660399,大同區,民族西路303巷55號對面,,121.510522,25.07017
242,台北市心理復健家屬聯合協會,(02)23660399,中山區,北安路588巷34號對面,,121.550851,25.081115
243,台北市心理復健家屬聯合協會,(02)23660399,中山區,新生北路3段56巷1號（里公布欄旁）,,121.527476,25.065407
244,台北市心理復健家屬聯合協會,(02)23660399,松山區,富錦街與光復北路口（行道樹旁）,,121.554904,25.060464
245,台北市心理復健家屬聯合協會,(02)23660399,中山區,北安路630巷口(麥當勞後第二根電線桿旁),,121.549298,25.082802
246,台北市心理復健家屬聯合協會,(02)23660399,松山區,民生東路5段177巷口(行道樹旁),,121.565206,25.059137
247,台北市心理復健家屬聯合協會,(02)23660399,大安區,泰順街與溫州街18巷15-1號對面（公布欄旁）,,121.531608,25.024821
248,台北市心理復健家屬聯合協會,(02)23660399,中山區,吉林路123巷口,,121.530248,25.057259
249,台北市心理復健家屬聯合協會,(02)23660399,大安區,和平東路1段與龍泉街口（燈桿旁）,,121.529225,25.026449
250,台北市心理復健家屬聯合協會,(02)23660399,中山區,松江路124巷與吉林路47號巷口,,121.530271,25.052588
251,台北市心理復健家屬聯合協會,(02)23660399,松山區,寶清街123號旁(電氣設備旁),,121.567484,25.054225
252,台北市心理復健家屬聯合協會,(02)23660399,松山區,新東街38號旁公園（行道樹與電氣設備中間）,,121.565612,25.060654
253,台北市心理復健家屬聯合協會,(02)23660399,中山區,龍江路61號對面（號誌控制器旁）,,121.540339,25.050191
254,台北市心理復健家屬聯合協會,(02)23660399,中山區,民權東路3段60巷11號對面(圍牆邊),,121.542311,25.060729
255,台北市心理復健家屬聯合協會,(02)23660399,中山區,長春路163巷口（圍牆邊）,,121.533693,25.054845
256,台北市心理復健家屬聯合協會,(02)23660399,松山區,延壽街330巷13號對面,,121.560354,25.054867
257,台北市心理復健家屬聯合協會,(02)23660399,松山區,東興路15巷口(便利商店旁),,121.565681,25.049381
258,台北市心理復健家屬聯合協會,(02)23660399,中山區,遼寧街62巷口,,121.542049,25.050681
259,台北市心理復健家屬聯合協會,(02)23660399,松山區,新東街51巷與三民路交叉口(行道樹旁),,121.563275,25.061618
260,台北市心理復健家屬聯合協會,(02)23660399,中山區,中原街110號對面,,121.528981,25.060763
261,台北市心理復健家屬聯合協會,(02)23660399,中山區,明水路606巷口（行道樹旁）,,121.551462,25.082108
262,台北市心理復健家屬聯合協會,(02)23660399,松山區,光復北路155巷口,,121.555943,25.055424
263,台北市心理復健家屬聯合協會,(02)23660399,中山區,吉林路108巷6號對面(圍牆邊),,121.529434,25.053413
264,台北市心理復健家屬聯合協會,(02)23660399,中山區,吉林路132號對面（電器設備旁）,,121.530105,25.055331
265,台北市心理復健家屬聯合協會,(02)23660399,信義區,福德街137巷8弄(龍門社區圍牆邊),,121.582763,25.037023
266,台北市心理復健家屬聯合協會,(02)23660399,北投區,大業路695號,,121.5001431,25.13712478
